tt0017449;nm0001256
tt0017449;nm0027350
tt0017449;nm0027355
tt0017449;nm0265551
tt0017463;nm0364711
tt0017463;nm0096152
tt0017480;nm0001256
tt0017480;nm0007220
tt0017519;nm0265407
tt0017519;nm0101956
tt0017534;nm0624216
tt0017534;nm0049055
tt0017540;nm0636161
tt0017540;nm0003123
tt0017540;nm0272059
tt0017567;nm0485273
tt0017567;nm0000011
tt0017621;nm0375609
tt0017621;nm0956517
tt0017653;nm0090472
tt0017653;nm0538791
tt0017662;nm0485273
tt0017667;nm0936079
tt0017667;nm0206496
tt0017726;nm0183205
tt0017726;nm0000017
tt0017726;nm0286924
tt0017735;nm0206496
tt0017735;nm0823299
tt0017739;nm0478851
tt0017751;nm0001966
tt0017751;nm0000011
tt0017765;nm0104238
tt0017765;nm0329467
tt0017825;nm0402842
tt0017825;nm0410216
tt0017832;nm0891136
tt0017832;nm0720885
tt0017843;nm0821895
tt0017843;nm0930556
tt0017843;nm0402842
tt0017843;nm0410216
tt0017860;nm0936079
tt0017886;nm0589105
tt0017918;nm0054060
tt0017918;nm0892473
tt0017928;nm0736777
tt0017928;nm0001966
tt0017928;nm0242642
tt0017938;nm0374881
tt0017938;nm0682812
tt0017961;nm0003540
tt0017961;nm0474428
tt0017961;nm0947279
tt0017998;nm0111030
tt0017998;nm0835739
tt0018014;nm0355671
tt0018016;nm0545349
tt0018016;nm0001966
tt0018033;nm0001966
tt0018033;nm0300615
tt0018033;nm0042553
tt0018037;nm0330036
tt0018045;nm0060715
tt0018066;nm0283901
tt0018087;nm0375609
tt0018087;nm0903189
tt0018097;nm0454597
tt0018097;nm0206496
tt0018102;nm0071582
tt0018107;nm0001256
tt0018107;nm0209462
tt0018113;nm0352495
tt0018138;nm0497810
tt0018138;nm0027294
tt0018138;nm0515292
tt0018166;nm0066024
tt0018166;nm0007220
tt0018179;nm0938923
tt0018179;nm0454597
tt0018179;nm0285391
tt0018192;nm0060715
tt0018192;nm0745565
tt0018217;nm0515104
tt0018218;nm0938923
tt0018218;nm0182537
tt0018235;nm0071582
tt0018235;nm0497344
tt0018235;nm0001682
tt0018235;nm0195595
tt0018268;nm0837133
tt0018268;nm0407970
tt0018268;nm0063295
tt0018311;nm0925592
tt0018328;nm0402842
tt0018351;nm0047720
tt0018362;nm0608598
tt0018379;nm0268190
tt0018379;nm0124878
tt0018379;nm0831889
tt0018379;nm0310980
tt0018389;nm0270915
tt0018389;nm0484757
tt0018389;nm0391972
tt0018392;nm0000731
tt0018392;nm0099082
tt0018392;nm0994468
tt0018392;nm0933510
tt0018413;nm0169067
tt0018413;nm0446771
tt0018413;nm0642063
tt0018440;nm0672907
tt0018451;nm0209462
tt0018453;nm0591377
tt0018455;nm0936079
tt0018455;nm0310980
