zz0014538;7.1;3949
zz0014586;6.6;1702
zz0014604;6.4;157
zz0014605;6.8;390
zz0014606;6.2;117
zz0014611;7.4;1532
zz0014624;7.0;4735
zz0014636;6.2;786
zz0014646;6.6;2303
zz0014672;6.4;344
zz0014702;6.7;407
zz0014721;5.9;131
zz0014760;6.9;208
zz0014770;6.5;212
zz0014826;5.7;105
zz0014854;6.9;125
zz0014869;6.5;611
zz0014874;6.3;119
zz0014898;6.8;530
zz0014925;6.1;125
zz0014945;7.7;3024
zz0014972;7.8;3044
zz0014982;6.8;253
zz0015014;7.2;712
zz0015016;7.2;1898
zz0015018;6.9;292
zz0015022;5.7;665
zz0015036;6.7;145
zz0015064;8.1;12157
zz0015116;6.5;973
zz0015119;7.2;1061
zz0015136;7.1;1540
zz0015145;5.7;447
zz0015163;7.7;8853
zz0015167;6.6;865
zz0015174;7.9;3860
zz0015175;8.1;5082
zz0015200;4.7;104
zz0015202;7.1;2263
zz0015213;6.8;137
zz0015214;7.2;1541
zz0015224;7.1;881
zz0015268;7.1;415
zz0015289;6.3;164
zz0015310;7.0;466
zz0015312;5.5;220
zz0015324;8.2;39634
zz0015361;7.6;6877
zz0015400;7.7;5460
zz0015493;6.3;200
zz0015498;6.8;430
zz0015500;5.9;310
zz0015518;5.8;121
zz0015624;7.9;6096
zz0015634;6.2;767
zz0015643;7.0;177
zz0015648;8.0;51775
zz0015684;6.3;491
zz0015687;6.6;243
zz0015693;6.4;681
zz0015758;7.0;415
zz0015768;7.1;1703
zz0015772;6.6;1718
zz0015794;6.3;133
zz0015801;7.1;310
zz0015841;7.5;4882
zz0015842;7.2;1348
zz0015861;6.6;417
zz0015863;7.2;3710
zz0015864;8.2;97480
zz0015872;6.9;151
zz0015881;8.1;8898
zz0015883;6.9;225
zz0015909;6.5;151
zz0015935;6.6;112
zz0016004;7.3;978
zz0016005;6.6;544
zz0016006;5.0;125
zz0016013;7.2;475
zz0016023;6.0;448
zz0016028;6.7;877
zz0016029;7.1;1420
zz0016039;7.0;4513
zz0016104;7.3;2126
zz0016123;6.2;906
zz0016142;6.4;105
zz0016185;7.1;310
